"","egg","Olim","temp","velocity"
"293",41,0.704932,7,0.01
"294",42,0.627619,7,0.01
"295",43,0.657813,7,0.01
"296",44,0.601514,7,0.01
"297",45,0.651789,7,0.01
"298",46,0.708328,7,0.01
"299",47,0.715005,7,0.01
"300",48,0.648596,7,0.01
"301",49,0.702718,7,0.01
"302",50,0.756122,7,0.01
"303",51,0.727414,7,0.01
"304",52,0.691057,7,0.01
"305",53,0.736344,7,0.01
"306",54,0.684868,7,0.01
"307",55,0.69261,7,0.01
"308",56,0.709206,7,0.01
"309",57,0.720113,7,0.01
"310",58,0.738328,7,0.01
"311",59,0.749422,7,0.01
"312",60,0.705436,7,0.01
"313",61,0.658181,7,0.01
"314",62,0.769869,7,0.01
"315",63,0.629331,7,0.01
"316",64,0.781236,7,0.01
"317",65,0.761229,7,0.01
"318",66,0.646746,7,0.01
"319",67,0.72327,7,0.01
"320",68,0.754092,7,0.01
"321",69,0.765388,7,0.01
"322",70,0.726912,7,0.01
"323",71,0.71187,7,0.01
"324",72,0.763316,7,0.01
"325",73,0.799069,7,0.01
"326",74,0.781186,7,0.01
"327",75,0.774947,7,0.01
"328",76,0.787392,7,0.01
"329",77,0.708092,7,0.01
"330",78,0.682618,7,0.01
"331",79,0.789221,7,0.01
"332",80,0.771846,7,0.01
"333",81,0.69892,7,0.01
"334",82,0.653782,7,0.01
"335",83,0.735589,7,0.01
"336",84,0.717543,7,0.01
"337",85,0.786173,7,0.01
"338",86,0.733366,7,0.01
"339",87,0.823194,7,0.01
"340",88,0.784441,7,0.01
"341",89,0.78479,7,0.01
"342",90,0.741056,7,0.01
"343",91,0.776882,7,0.01
"344",92,0.76418,7,0.01
"345",93,0.710082,7,0.01
"346",94,0.701452,7,0.01
"347",95,0.691658,7,0.01
"348",96,0.674685,7,0.01
"349",97,0.785352,7,0.01
"350",98,0.855595,7,0.01
"351",99,0.813993,7,0.01
"352",100,0.82096,7,0.01
"353",101,0.718391,7,0.01
"354",102,0.769371,7,0.01
"355",103,0.622186,7,0.01
"356",104,0.761888,7,0.01
"357",105,0.766076,7,0.01
"358",106,0.800241,7,0.01
"359",107,0.823353,7,0.01
"360",108,0.799883,7,0.01
"361",109,0.667192,7,0.01
"362",110,0.785398,7,0.01
"363",111,0.786684,7,0.01
"364",112,0.760143,7,0.01
"365",113,0.735849,7,0.01
"366",114,0.796653,7,0.01
"367",115,0.779973,7,0.01
"368",116,0.782865,7,0.01
"369",117,0.820614,7,0.01
"370",118,0.80524,7,0.01
"371",119,0.803227,7,0.01
"372",120,0.742949,7,0.01
"373",121,0.765284,7,0.01
"374",122,0.777097,7,0.01
"375",123,0.821702,7,0.01
"376",124,0.847726,7,0.01
"377",125,0.810555,7,0.01
"378",126,0.767663,7,0.01
"379",1,0.56737,7,0.02
"380",2,0.565683,7,0.02
"381",3,0.573858,7,0.02
"382",4,0.55644,7,0.02
"383",5,0.566794,7,0.02
"384",6,0.607422,7,0.02
"385",7,0.569671,7,0.02
"386",8,0.570591,7,0.02
"387",9,0.562694,7,0.02
"388",10,0.629124,7,0.02
"389",11,0.571846,7,0.02
"390",12,0.593008,7,0.02
"391",13,0.592584,7,0.02
"392",14,0.60922,7,0.02
"393",15,0.588466,7,0.02
"394",16,0.562434,7,0.02
"395",17,0.617843,7,0.02
"396",18,0.628197,7,0.02
"397",19,0.605485,7,0.02
"398",20,0.602737,7,0.02
"399",21,0.623445,7,0.02
"400",22,0.575626,7,0.02
"401",23,0.654825,7,0.02
"402",24,0.589545,7,0.02
"403",25,0.588182,7,0.02
"404",26,0.58977,7,0.02
"405",27,0.599077,7,0.02
"406",28,0.571749,7,0.02
"407",29,0.582144,7,0.02
"408",30,0.614821,7,0.02
"409",31,0.620622,7,0.02
"410",32,0.545228,7,0.02
"411",33,0.626975,7,0.02
"412",34,0.586776,7,0.02
"413",35,0.590961,7,0.02
"414",36,0.56707,7,0.02
"415",37,0.616091,7,0.02
"416",38,0.57958,7,0.02
"417",39,0.561824,7,0.02
"418",40,0.672052,7,0.02
"419",41,0.620236,7,0.02
"420",42,0.573042,7,0.02
"421",43,0.587306,7,0.02
"422",44,0.550301,7,0.02
"423",45,0.593057,7,0.02
"424",46,0.621008,7,0.02
"425",47,0.644357,7,0.02
"426",48,0.583683,7,0.02
"427",49,0.617738,7,0.02
"428",50,0.663017,7,0.02
"429",51,0.640366,7,0.02
"430",52,0.614761,7,0.02
"431",53,0.64931,7,0.02
"432",54,0.615302,7,0.02
"433",55,0.613593,7,0.02
"434",56,0.621007,7,0.02
"435",57,0.636998,7,0.02
"436",58,0.647055,7,0.02
"437",59,0.656591,7,0.02
"438",60,0.616473,7,0.02
"439",61,0.597369,7,0.02
"440",62,0.678025,7,0.02
"441",63,0.562763,7,0.02
"442",64,0.686659,7,0.02
"443",65,0.670416,7,0.02
"444",66,0.579848,7,0.02
"445",67,0.644068,7,0.02
"446",68,0.66455,7,0.02
"447",69,0.675126,7,0.02
"448",70,0.632153,7,0.02
"449",71,0.62649,7,0.02
"450",72,0.661491,7,0.02
"451",73,0.699083,7,0.02
"452",74,0.68654,7,0.02
"453",75,0.677299,7,0.02
"454",76,0.697863,7,0.02
"455",77,0.625871,7,0.02
"456",78,0.606923,7,0.02
"457",79,0.692794,7,0.02
"458",80,0.668619,7,0.02
"459",81,0.625088,7,0.02
"460",82,0.582174,7,0.02
"461",83,0.63952,7,0.02
"462",84,0.628685,7,0.02
"463",85,0.689154,7,0.02
"464",86,0.639618,7,0.02
"465",87,0.717778,7,0.02
"466",88,0.698258,7,0.02
"467",89,0.696094,7,0.02
"468",90,0.646091,7,0.02
"469",91,0.672506,7,0.02
"470",92,0.65481,7,0.02
"471",93,0.630466,7,0.02
"472",94,0.624271,7,0.02
"473",95,0.616257,7,0.02
"474",96,0.601108,7,0.02
"475",97,0.681503,7,0.02
"476",98,0.755484,7,0.02
"477",99,0.715763,7,0.02
"478",100,0.724187,7,0.02
"479",101,0.62772,7,0.02
"480",102,0.677882,7,0.02
"481",103,0.564082,7,0.02
"482",104,0.659997,7,0.02
"483",105,0.678072,7,0.02
"484",106,0.705566,7,0.02
"485",107,0.712504,7,0.02
"486",108,0.690984,7,0.02
"487",109,0.590671,7,0.02
"488",110,0.678493,7,0.02
"489",111,0.682115,7,0.02
"490",112,0.663479,7,0.02
"491",113,0.639388,7,0.02
"492",114,0.702516,7,0.02
"493",115,0.672718,7,0.02
"494",116,0.699666,7,0.02
"495",117,0.714426,7,0.02
"496",118,0.694626,7,0.02
"497",119,0.701569,7,0.02
"498",120,0.647779,7,0.02
"499",121,0.678529,7,0.02
"500",122,0.692695,7,0.02
"501",123,0.710028,7,0.02
"502",124,0.748746,7,0.02
"503",125,0.713108,7,0.02
"504",126,0.680651,7,0.02
"505",1,0.543095,7,0.03
"506",2,0.541538,7,0.03
"507",3,0.548859,7,0.03
"508",4,0.532891,7,0.03
"509",5,0.541617,7,0.03
"510",6,0.582205,7,0.03
"511",7,0.545058,7,0.03
"512",8,0.545192,7,0.03
"513",9,0.537423,7,0.03
"514",10,0.594316,7,0.03
"515",11,0.547764,7,0.03
"516",12,0.563805,7,0.03
"517",13,0.562124,7,0.03
"518",14,0.577582,7,0.03
"519",15,0.559012,7,0.03
"520",16,0.532413,7,0.03
"521",17,0.585023,7,0.03
"522",18,0.591305,7,0.03
"523",19,0.574721,7,0.03
"524",20,0.569071,7,0.03
"525",21,0.586219,7,0.03
"526",22,0.544903,7,0.03
"527",23,0.615499,7,0.03
"528",24,0.553945,7,0.03
"529",25,0.557125,7,0.03
"530",26,0.55689,7,0.03
"531",27,0.565488,7,0.03
"532",28,0.541023,7,0.03
"533",29,0.549885,7,0.03
"534",30,0.57558,7,0.03
"535",31,0.583888,7,0.03
"536",32,0.521232,7,0.03
"537",33,0.586814,7,0.03
"538",34,0.55666,7,0.03
"539",35,0.55775,7,0.03
"540",36,0.538973,7,0.03
"541",37,0.578807,7,0.03
"542",38,0.547296,7,0.03
"543",39,0.535019,7,0.03
"544",40,0.624337,7,0.03
"545",41,0.579144,7,0.03
"546",42,0.545914,7,0.03
"547",43,0.552809,7,0.03
"548",44,0.52602,7,0.03
"549",45,0.563174,7,0.03
"550",46,0.57845,7,0.03
"551",47,0.606643,7,0.03
"552",48,0.551295,7,0.03
"553",49,0.576885,7,0.03
"554",50,0.614677,7,0.03
"555",51,0.596072,7,0.03
"556",52,0.576954,7,0.03
"557",53,0.604347,7,0.03
"558",54,0.580524,7,0.03
"559",55,0.575145,7,0.03
"560",56,0.578064,7,0.03
"561",57,0.594186,7,0.03
"562",58,0.601695,7,0.03
"563",59,0.608192,7,0.03
"564",60,0.574151,7,0.03
"565",61,0.566595,7,0.03
"566",62,0.629212,7,0.03
"567",63,0.534264,7,0.03
"568",64,0.636339,7,0.03
"569",65,0.622665,7,0.03
"570",66,0.547691,7,0.03
"571",67,0.602181,7,0.03
"572",68,0.617979,7,0.03
"573",69,0.627844,7,0.03
"574",70,0.585312,7,0.03
"575",71,0.583644,7,0.03
"576",72,0.610694,7,0.03
"577",73,0.643382,7,0.03
"578",74,0.635998,7,0.03
"579",75,0.625703,7,0.03
"580",76,0.64757,7,0.03
"581",77,0.583938,7,0.03
