"","Tube","SampleDate","Location","rep","length","weight"
"135",4,"Early","Bottom",20,19.03,0.193
"136",4,"Early","Bottom",16,19.95,0.193
"137",4,"Early","Bottom",17,19.52,0.191
"138",4,"Early","Top",10,17.12,0.185
"139",4,"Early","Top",13,18.7,0.185
"140",4,"Early","Bottom",1,19.03,0.185
"141",4,"Early","Top",2,20.14,0.147
"142",4,"Early","Top",18,19.43,0.145
"143",4,"Early","Bottom",14,20.6,0.145
"144",4,"Early","Top",11,18.55,0.14
"145",4,"Early","Top",4,19.5,0.14
"146",4,"Early","Top",17,19.73,0.14
"147",4,"Early","Bottom",6,20.16,0.14
"148",4,"Early","Top",7,18.97,0.139
"149",4,"Early","Bottom",9,19.67,0.138
"150",4,"Early","Bottom",4,17.91,0.137
"151",4,"Early","Bottom",7,18.31,0.137
"152",4,"Early","Bottom",18,18.58,0.137
"153",4,"Early","Bottom",5,18.18,0.136
"154",4,"Early","Bottom",13,18.52,0.136
"155",4,"Early","Top",5,19.17,0.136
"156",4,"Early","Bottom",15,19.66,0.135
"157",4,"Early","Top",6,18.07,0.133
"158",4,"Early","Bottom",10,18.67,0.132
"159",4,"Early","Top",12,18.03,0.131
"161",5,"Early","Bottom",4,17.26,0.267
"162",5,"Early","Bottom",17,20.43,0.203
"163",5,"Early","Bottom",7,17.97,0.195
"164",5,"Early","Bottom",18,19.41,0.195
"165",5,"Early","Bottom",8,15.17,0.19
"166",5,"Early","Bottom",20,18.89,0.189
"167",5,"Early","Top",1,18.16,0.188
"168",5,"Early","Top",9,18.46,0.183
"169",5,"Early","Top",15,18.47,0.183
"170",5,"Early","Top",7,19.41,0.183
"171",5,"Early","Top",11,20.57,0.179
"172",5,"Early","Top",8,17.29,0.171
"173",5,"Early","Top",4,16.52,0.17
"174",5,"Early","Top",2,15.86,0.167
"175",5,"Early","Bottom",9,17.1,0.157
"176",5,"Early","Bottom",6,18.31,0.147
"177",5,"Early","Bottom",5,18.66,0.143
"178",5,"Early","Bottom",10,18.72,0.143
"179",5,"Early","Bottom",15,19.15,0.14
"180",5,"Early","Bottom",13,18.33,0.137
"181",5,"Early","Bottom",16,19.81,0.137
"182",5,"Early","Top",12,20.19,0.136
"183",5,"Early","Bottom",14,17.4,0.129
